언론사,섹션,발행시각,제목,URL
SBS,사회,2026-08-29 13:59,월요일까지 전국에 강한 비…충남권 최대 200㎜ 넘는 폭우,https://n.news.naver.com/article/055/0001384354
SBS,사회,2026-08-29 13:57,"국토부, 의왕역 철도 작업자 사망에 ""엄중 조치하고 안전대책""",https://n.news.naver.com/article/055/0001384353
한국경제,사회,2026-08-29 13:41,"[속보] 두산 박정원 회장·박지원 부회장, 네팔행…실종자 수색 지원",https://n.news.naver.com/article/015/0005326191
한국경제,사회,2026-08-29 13:39,서울 17㎞ 무면허 질주…차량서 '먀악 주사기' 나왔다,https://n.news.naver.com/article/015/0005326190
매일경제,세계,2026-08-29 13:38,"“한국 등 4개국 예외”…‘외국 지원 거절’ 선언했던 네팔, 결정 번복 이유는",https://n.news.naver.com/article/009/0005727467
SBS,사회,2026-08-29 13:37,임명은 거부할 수 있지만 제청권은 침해할 수 없다 [취재파일],https://n.news.naver.com/article/055/0001384352
한국경제,생활/문화,2026-08-29 13:26,"에런 피어가 선택한 보스 ""수트는 단순한 옷 아냐…태도 그 자체""",https://n.news.naver.com/article/015/0005326189
매일경제,경제,2026-08-29 13:17,“이젠 기준금리 3%시대”…주식에 빚투·영끌 개미들 ‘비명’,https://n.news.naver.com/article/009/0005727466
매일경제,경제,2026-08-29 13:03,"전기차로 바꿀까 했는데, 좀 참아볼까…기름값 15주 연속 하락, 휘발유 값 얼마?",https://n.news.naver.com/article/009/0005727465
한국경제,경제,2026-08-29 13:01,"해외 매체, 갤럭시코퍼레이션 Physical AI 사업 조명…글로벌 시장 확대 추진",https://n.news.naver.com/article/015/0005326187
한국경제,경제,2026-08-29 13:01,"""한번 하면 10년은 기본""…김연아·공유 붙잡아둔 이 회사 전략 [김소연의 얼굴전략]",https://n.news.naver.com/article/015/0005326188
SBS,사회,2026-08-29 13:01,"""야자수 줄기 목맴 불가"" 의혹에…경찰 재현 실험도 진행",https://n.news.naver.com/article/055/0001384351
매일경제,IT/과학,2026-08-29 13:00,"“게임 좀 한다는 사람들 마음 들썩들썩”…엔씨·크래프톤·펄어비스, 독일서 신작 내놓는다",https://n.news.naver.com/article/009/0005727464
매일경제,생활/문화,2026-08-29 12:59,“연예인병 걸렸냐고요?”…연구실 과학자들이 광고모델 나선 이유는 [인터뷰],https://n.news.naver.com/article/009/0005727463
한국경제,정치,2026-08-29 12:59,"""노웅래 상고 포기""…국민의힘 ""李 한마디에 검찰 납작 엎드려""",https://n.news.naver.com/article/015/0005326186
SBS,정치,2026-08-29 12:58,"국힘, '노웅래 상고 포기' 검찰에 ""권력 눈치보며 하명에 굴복""",https://n.news.naver.com/article/055/0001384349
SBS,생활/문화,2026-08-29 12:32,내일 새벽부터 폭우…충남 최대 200mm 이상,https://n.news.naver.com/article/055/0001384348
한국경제,사회,2026-08-29 12:30,"[속보] 정부, 네팔에 신속대응팀 9명 오늘 오후 추가파견",https://n.news.naver.com/article/015/0005326185
SBS,사회,2026-08-29 12:27,"""전남광주 해남 서북서쪽서 규모 2.6 지진 발생""",https://n.news.naver.com/article/055/0001384347
SBS,세계,2026-08-29 12:25,밤에도 '추가 범람' 주의보…사망·실종 3천 명 넘어,https://n.news.naver.com/article/055/0001384346
