언론사,섹션,발행시각,제목,URL
매일경제,사회|생활/문화,2026-09-10 11:20,“숨만 쉬었을 뿐인데 폐 염증 90% 증발?”…천식환자 살릴 치료제 등장하나,https://n.news.naver.com/article/009/0005733195
매일경제,세계,2026-09-10 11:19,“이러다 다 죽는다”…AI 위험 경고하더니 오픈AI재단 이사된 미 정부 인사,https://n.news.naver.com/article/009/0005733194
매일경제,생활/문화,2026-09-10 11:16,16만원 콘서트인데 폭염 속 대기…“너무 미안합니다” 성시경 결국 사과,https://n.news.naver.com/article/009/0005733193
한국경제,경제,2026-09-10 11:16,"위드링크러브, 뉴욕 타임스퀘어에서 고객 헌정 프로젝트 진행",https://n.news.naver.com/article/015/0005330838
매일경제,정치,2026-09-10 11:15,"靑 “연임? 아예 불가능한 사안…이 대통령, 대국민 소통자리 있을 것”",https://n.news.naver.com/article/009/0005733191
SBS,사회,2026-09-10 11:15,용혜인 임명 '반대' 73.4%·김승원 임명 '반대' 55.7%,https://n.news.naver.com/article/055/0001387266
한국경제,경제,2026-09-10 11:14,전국 아파트 입주율 50%대로 '뚝'…4개월 만에 최저치,https://n.news.naver.com/article/015/0005330837
SBS,정치,2026-09-10 11:14,"청와대, 용혜인·김승원에 ""청문 절차 후 국민 눈높이로 판단 예정""",https://n.news.naver.com/article/055/0001387265
SBS,사회,2026-09-10 11:13,경북대 기숙사서 충전 중 휴대전화 화재…200명 새벽 대피 소동,https://n.news.naver.com/article/055/0001387264
매일경제,경제,2026-09-10 11:12,"“자꾸 의심하는데, 삼전닉스 앞으로 더 좋습니다”…‘반도체의 왕’ 메모리 가격 더 뛴다",https://n.news.naver.com/article/009/0005733189
SBS,정치,2026-09-10 11:12,'빠루 국회'가 낳은 위성정당의 딜레마…'용혜인 논란'이 던진 질문 [취재파일],https://n.news.naver.com/article/055/0001387263
한국경제,정치,2026-09-10 11:11,"與 서울 의원들, 청년주택에 미래대응기금 활용 검토",https://n.news.naver.com/article/015/0005330835
매일경제,정치,2026-09-10 11:10,"與 박성준 “이제는 한동훈 사건…韓, ‘김승원 청문회’ 증인 채택해야”",https://n.news.naver.com/article/009/0005733185
매일경제,사회,2026-09-10 11:10,"“딸 이름 팔아 3천만원 사기”…장윤정 모친, 오늘 1심 선고",https://n.news.naver.com/article/009/0005733186
매일경제,경제,2026-09-10 11:10,"35억 넘는 서울 아파트 단지, 10곳 중 8곳은 20년 넘었다는데",https://n.news.naver.com/article/009/0005733187
매일경제,경제,2026-09-10 11:10,“시장이 아비규환입니다” …미분양의 늪에 빠진 지방 부동산,https://n.news.naver.com/article/009/0005733188
