언론사,섹션,발행시각,제목,URL
SBS,경제,2026-08-23 09:42,"현대차 노조, 24일 부분파업 유보…임협 교섭 재개 예정",https://n.news.naver.com/article/055/0001382681
매일경제,경제,2026-08-23 09:40,"“몸값 2760조, 역대급 IPO 온다”…앤트로픽, 스페이스X 뛰어넘을까",https://n.news.naver.com/article/009/0005724411
SBS,경제,2026-08-23 09:38,"한수원·원안위, 해남 규모 3.1 지진에 ""원전 영향 없어""",https://n.news.naver.com/article/055/0001382680
한국경제,사회,2026-08-23 09:35,"""카톡 오류였는데 아무도 몰랐다""…시각장애인의 사흘",https://n.news.naver.com/article/015/0005323558
매일경제,사회|세계,2026-08-23 09:29,"“식료품 30% 싸게 드려요, 세금으로”…사회주의자 뉴욕시장의 실험",https://n.news.naver.com/article/009/0005724410
매일경제,사회,2026-08-23 09:24,"‘장미란 사건’ 경찰관, 다른 실종도 허위종결했다…60대 시신 발견",https://n.news.naver.com/article/009/0005724407
매일경제,사회,2026-08-23 09:24,이강인 골 넣자 축하한다며 ‘눈 찢기’한 유튜버…“인종차별 사과해야”,https://n.news.naver.com/article/009/0005724408
SBS,경제,2026-08-23 09:24,한국 7월 EU 철강 수출 41%↓…신철강조치 영향 일부 반영,https://n.news.naver.com/article/055/0001382677
매일경제,경제|생활/문화|IT/과학,2026-08-23 09:22,"“올해가 가장 시원, 45도 찍습니다”…폭우·폭염·태풍 3종세트 더 세진다는데",https://n.news.naver.com/article/009/0005724406
SBS,경제,2026-08-23 09:21,공급 부족 우려에 구리값 '들썩'…관련주도 우상향,https://n.news.naver.com/article/055/0001382676
SBS,경제,2026-08-23 09:18,김윤덕·오세훈 이번주 다시 회동…'용산공원 공급' 접점 찾나,https://n.news.naver.com/article/055/0001382675
매일경제,사회,2026-08-23 09:17,“부정선거 성지” 지키는 올공 시위대…특검 출범에도 ‘재선거’ 주장,https://n.news.naver.com/article/009/0005724405
한국경제,사회,2026-08-23 09:11,"""주말도 반납""…극한호우 덮친 거제·통영, 복구 총력전",https://n.news.naver.com/article/015/0005323557
매일경제,생활/문화,2026-08-23 09:10,"자식 농사 대박…‘우지원 딸’ 우서윤, 미스코리아 진 됐다",https://n.news.naver.com/article/009/0005724404
매일경제,IT/과학,2026-08-23 09:07,“올리브영 찍고 여기 갑니다”…외국인 줄 세운 ‘K약국 쇼핑’ 3대장 [MK약국 x 약들약],https://n.news.naver.com/article/009/0005724403
매일경제,생활/문화,2026-08-23 09:06,"“치맥·삼쏘만 찾으면 아재”…다크라거에 초콜릿, 확 달라진 ‘페어링’",https://n.news.naver.com/article/009/0005724402
매일경제,경제,2026-08-23 09:03,맘스터치 1조·노랑통닭 2천억 그리고 버거킹까지…M&A 맛집 총출동 [M&A복덕방],https://n.news.naver.com/article/009/0005724400
매일경제,경제,2026-08-23 09:03,“삼전닉스 고연봉자 대출은 끄떡없어”…새 DSR 타격받는 직장인은,https://n.news.naver.com/article/009/0005724401
매일경제,경제,2026-08-23 09:02,"“하루도 빠짐없이 쓸어 모아”…개미들 금 투자 러시, 골드바 매물도 완판 [원자재로 살아남기]",https://n.news.naver.com/article/009/0005724399
매일경제,경제,2026-08-23 09:01,"“당첨됐다고 장땡 아닙니다”…8월 4만가구 분양, 세금 따라 확 달라진 청약 셈법",https://n.news.naver.com/article/009/0005724397
매일경제,경제,2026-08-23 09:01,“PER 4배면 빠질만큼 빠진거야”…삼전닉스 공부 다시 시작하는 반도체 개미들,https://n.news.naver.com/article/009/0005724398
한국경제,생활/문화,2026-08-23 09:01,'세계 최초 기술' 쓸어 담았다…'제네시스' 파격 시도에 술렁 [현장+],https://n.news.naver.com/article/015/0005323556
한국경제,경제,2026-08-23 08:55,'폐버스 주택'→'욕조 고시원' 황당 릴레이…청년들 '부글부글',https://n.news.naver.com/article/015/0005323555
SBS,세계,2026-08-23 08:53,일본 혼슈 동남부 이바라키현서 규모 5.9 지진…도쿄서도 흔들림 관측,https://n.news.naver.com/article/055/0001382674
매일경제,세계,2026-08-23 08:49,한밤중 日 덮친 규모 5.9 강진…도쿄 5년 만에 크게 흔들렸다,https://n.news.naver.com/article/009/0005724395
매일경제,사회,2026-08-23 08:44,"“무엇이 그를 욕보이게 했나” 김동완, ‘낙상사고’ 영상 공개 박위 두둔",https://n.news.naver.com/article/009/0005724394
SBS,경제,2026-08-23 08:43,전남광주 해남에 또 규모 3.1 지진…제주서도 규모 2.2 지진 잇따라,https://n.news.naver.com/article/055/0001382673
매일경제,세계,2026-08-23 08:40,“백악관 옆을 시속 306㎞로”…트럼프가 띄운 워싱턴 도심 경주,https://n.news.naver.com/article/009/0005724392
매일경제,경제|세계,2026-08-23 08:40,“데이터센터에 소변을 봅시다”…美 중간선거판 흔드는 맥주 광고 한 편,https://n.news.naver.com/article/009/0005724393
한국경제,사회,2026-08-23 08:40,"""'알박기 텐트' 더는 못 참아""…굴착기로 전부 밀어버렸다",https://n.news.naver.com/article/015/0005323554
한국경제,IT/과학,2026-08-23 08:31,"카톡도 떼어낸 카카오, 쪼개기 마술 통할까 [허진의 테크토닉]",https://n.news.naver.com/article/015/0005323553
한국경제,경제,2026-08-23 08:17,내놓자마자 품절 대란…'7만원짜리 장바구니' 대체 뭐길래,https://n.news.naver.com/article/015/0005323552
SBS,사회,2026-08-23 08:14,"""내장 튀어나와"" 호소에 비웃음…10년 지기 살해 후 ""김치""",https://n.news.naver.com/article/055/0001382672
한국경제,사회,2026-08-23 08:03,"""무사하다"" 경찰 말 믿었는데…실종 신고 또 '허위 종결'",https://n.news.naver.com/article/015/0005323551
한국경제,경제,2026-08-23 08:01,"""변동성 장세 지속…엔비디아 실적·잭슨홀 미팅 주목"" [주간전망]",https://n.news.naver.com/article/015/0005323550
매일경제,경제|생활/문화,2026-08-23 07:51,"“OO카페 알바 일상 보실래요?”…프랜차이즈 직원 SNS, 어디까지 허용?",https://n.news.naver.com/article/009/0005724388
한국경제,경제,2026-08-23 07:50,"""국민연금 받았더니 기초연금 깎였다""…감액액 4년 새 3배",https://n.news.naver.com/article/015/0005323549
한국경제,사회,2026-08-23 07:47,"""물밑 합의 안 되자 터졌다""…대법관 인선 '밀실 관행' 도마",https://n.news.naver.com/article/015/0005323548
한국경제,경제,2026-08-23 07:40,"알바비만 매달 350만원…""편의점주가 아니라 노예 생활"" 눈물 [벼랑 끝 사장님]",https://n.news.naver.com/article/015/0005323546
한국경제,경제,2026-08-23 07:40,"""용산공원 1㎝도 못 내준다""…김윤덕·오세훈, 이번주 다시 회동",https://n.news.naver.com/article/015/0005323547
한국경제,경제,2026-08-23 07:31,'요즘 누가 오마카세 먹어요'…2030 돌변한 이유 있었다 [박수림의 요즘 여기],https://n.news.naver.com/article/015/0005323544
한국경제,세계,2026-08-23 07:31,"""제재 동참하면 적""…이란, 트럼프 '경제 전쟁'에 맞불",https://n.news.naver.com/article/015/0005323545
SBS,세계,2026-08-23 07:29,"미 공화 의원, 트럼프 '한미 연합훈련 축소'에 의문 제기…복원 촉구",https://n.news.naver.com/article/055/0001382671
한국경제,사회,2026-08-23 07:25,"""신고만 받고 끝""…경찰 ‘전경예우’ 신고제 7년간 후속조치 0건",https://n.news.naver.com/article/015/0005323543
SBS,세계,2026-08-23 07:25,"이란 ""미국 '경제 전쟁'에 가담 말라…동참 국가는 적"" 경고",https://n.news.naver.com/article/055/0001382670
한국경제,정치,2026-08-23 07:19,"""공공기관 잡아라""…주담대 이자·자녀교육까지 내건 지자체들",https://n.news.naver.com/article/015/0005323542
SBS,생활/문화,2026-08-23 07:16,[날씨] 절기 '처서' 무색한 더위…양산 36도·광주 35도,https://n.news.naver.com/article/055/0001382669
SBS,세계,2026-08-23 07:14,"캐나다, 미국에 보복관세 '맞불'…관세 갈등 재격화",https://n.news.naver.com/article/055/0001382668
SBS,사회,2026-08-23 07:12,"'허위 종결' 경찰관 체포…""과거에도 허위 종결""",https://n.news.naver.com/article/055/0001382666
SBS,사회,2026-08-23 07:12,울산 동구 방어진활어센터 화재…인명피해 없어,https://n.news.naver.com/article/055/0001382667
한국경제,경제,2026-08-23 07:08,"""동결해도 끝 아냐""…한은 금리 인상 사이클 계속",https://n.news.naver.com/article/015/0005323541
SBS,정치,2026-08-23 07:08,"이 대통령 ""정치검찰 기소로 얼마나 억울했겠나""",https://n.news.naver.com/article/055/0001382665
SBS,경제,2026-08-23 07:02,'처서' 무색 무더위 이어져…전국 곳곳 소나기,https://n.news.naver.com/article/055/0001382664
한국경제,경제,2026-08-23 07:01,"""대통령도 했잖아요""…급증하는 ‘매도인 대출’ 정말 될까 [김용우의 각개전투]",https://n.news.naver.com/article/015/0005323540
매일경제,경제,2026-08-23 06:48,남의 차 탔다가 사고났는데 “보험금 40% 깎겠다”는 보험사…법원 판단은 [어쩌다 세상이],https://n.news.naver.com/article/009/0005724387
한국경제,세계,2026-08-23 06:47,도쿄·수도권 덮친 새벽 지진…JR 주요 노선 운행 중단,https://n.news.naver.com/article/015/0005323539
매일경제,경제,2026-08-23 06:32,“티끌 모아 티끌 소중함 아시겠죠?”…‘최고 연13.5%’ 고금리 적금 잇따라 출시 [알쓸금잡],https://n.news.naver.com/article/009/0005724386
한국경제,사회,2026-08-23 06:01,"""그 사람 법카 횡령했다던데""…말 한마디 했다가 '날벼락' [곽용희의 인사노무노트]",https://n.news.naver.com/article/015/0005323536
한국경제,경제,2026-08-23 06:01,[단독] 기계 고장 전 이상음 잡는 디플리…로봇 불량까지 잡는다,https://n.news.naver.com/article/015/0005323537
한국경제,생활/문화,2026-08-23 06:01,"""암보다 낮은 생존률""…이 증상 무시했다간 큰일 난다는데 [이지현의 생생헬스]",https://n.news.naver.com/article/015/0005323538
매일경제,생활/문화,2026-08-23 05:43,“입에 안 맞다고 레시피 뜯어고치라니”...진상 고객이 술의 역사를 바꿨다,https://n.news.naver.com/article/009/0005724385
매일경제,생활/문화,2026-08-23 05:42,“솔직히 대통령 노망난 거 아닌가요?”…트럼프 최측근 대답이 [Book],https://n.news.naver.com/article/009/0005724382
매일경제,생활/문화,2026-08-23 05:42,“그냥 다 제육으로 통일하지”...부장님의 메뉴선택이 가장 효율적? [Book],https://n.news.naver.com/article/009/0005724383
매일경제,생활/문화,2026-08-23 05:42,“여자가 무슨 털이 저리 많아?...조금만 달라도 낙인 찍는 인간 본성 [Book],https://n.news.naver.com/article/009/0005724384
SBS,사회,2026-08-23 04:54,충남 예산군 광시면 주택서 불…2명 부상,https://n.news.naver.com/article/055/0001382663
SBS,사회,2026-08-23 04:53,"기상청 ""제주 서귀포 동쪽 바다서 규모 2.2 지진…피해 없을 듯""",https://n.news.naver.com/article/055/0001382662
SBS,세계,2026-08-23 04:16,"캐나다 총리, 미국에 보복관세 '맞불'…다음 달 8일부터 철강·낙농품 등에 부과",https://n.news.naver.com/article/055/0001382660
SBS,세계,2026-08-23 04:16,"미국 무역대표, 캐나다 보복관세 예고에 ""캐나다 보복에 대응 조치""",https://n.news.naver.com/article/055/0001382661
SBS,사회,2026-08-23 01:10,울산 동구 방어진활어센터 화재…인명피해 없어,https://n.news.naver.com/article/055/0001382657
SBS,세계,2026-08-23 01:09,"교황 ""이윤 우상숭배에서 노동 해방…기술 발전 파괴적이면 무장해제해야""",https://n.news.naver.com/article/055/0001382656
한국경제,생활/문화,2026-08-23 00:01,[오늘의 운세] 오늘 뭐 먹지?…8월 23일 띠별 추천 점심메뉴,https://n.news.naver.com/article/015/0005323534
한국경제,생활/문화,2026-08-23 00:01,[오늘의 운세] 8월 23일 띠별 운세,https://n.news.naver.com/article/015/0005323535
