언론사,섹션,발행시각,제목,URL
매일경제,생활/문화,2026-09-01 11:54,"“골프 오너 100명 초대합니다”…폭스바겐, ‘골프 트레펜 코리아’ 개최",https://n.news.naver.com/article/009/0005728578
매일경제,경제,2026-09-01 11:48,"기초연금, 저소득층 3만원 더 주고 ‘70%룰’ 유지…예산 2.6조 더 늘어 [2027년도 예산안]",https://n.news.naver.com/article/009/0005728576
매일경제,경제,2026-09-01 11:48,내년 예산 821조 ‘역대 최대’...2030년엔 한국도 ‘천조국’ 된다,https://n.news.naver.com/article/009/0005728577
한국경제,경제,2026-09-01 11:48,법인세 수입 올해의 두 배…내년 국세 수입 584조 [2027년 예산안],https://n.news.naver.com/article/015/0005327129
한국경제,경제,2026-09-01 11:48,"엔비디아, 대만 팹리스 미디어텍 CB에 35억달러 투자",https://n.news.naver.com/article/015/0005327130
한국경제,경제,2026-09-01 11:48,전국민에 무료 AI…849㎞ 장거리 숲길 조성 [2027년 예산안],https://n.news.naver.com/article/015/0005327131
한국경제,경제,2026-09-01 11:47,내년 총지출 821조…나랏빚 1500조 돌파 [2027년 예산안],https://n.news.naver.com/article/015/0005327128
한국경제,경제,2026-09-01 11:46,李 정부 마지막해 지출 1000조 돌파 [2027년 예산안],https://n.news.naver.com/article/015/0005327125
한국경제,경제,2026-09-01 11:46,한 달 반 만에 기초연금 개편 '백지화'…하후상박만 적용 [2027년 예산안],https://n.news.naver.com/article/015/0005327126
한국경제,경제,2026-09-01 11:46,'K자형 양극화' 해소에 117조…지역·농어촌·취약계층 지원 늘린다 [2027년 예산안],https://n.news.naver.com/article/015/0005327127
한국경제,경제,2026-09-01 11:44,50만원대 中가전 쏟아진다…샤오미 '가성비 신제품' 상륙,https://n.news.naver.com/article/015/0005327124
매일경제,생활/문화,2026-09-01 11:42,"“눈길 접지력 5% 향상”…한국타이어, ‘윈터 아이셉트 에보4’ 출시",https://n.news.naver.com/article/009/0005728574
한국경제,경제,2026-09-01 11:42,'162조+a’ 미래대응기금…느슨한 통제 논란 [2027년 예산안],https://n.news.naver.com/article/015/0005327122
한국경제,경제,2026-09-01 11:42,초급 부사관 월급 300만원…軍 제설·제초 민간 위탁 추진도 [2027년 예산안],https://n.news.naver.com/article/015/0005327123
SBS,사회,2026-09-01 11:42,"[자막뉴스] ""일 많아질까봐"" 실종 조작…고작 이런 이유? 수사 결과 발표",https://n.news.naver.com/article/055/0001384941
매일경제,경제,2026-09-01 11:39,"“선제 조치로 고장 예방”…서부발전, 발전설비 여름철 전력수급 안정 총력",https://n.news.naver.com/article/009/0005728573
SBS,세계,2026-09-01 11:38,"인권단체 ""중국, 티베트 지역 피해규모 축소…사상자 더 많아""",https://n.news.naver.com/article/055/0001384939
SBS,세계,2026-09-01 11:38,"""온난화로 남극 빙하 녹으며 갇혔던 수은 방출량 급증""",https://n.news.naver.com/article/055/0001384940
SBS,세계,2026-09-01 11:37,"""트럼프 장남 참여 투자사, 폴리마켓에 4천100억 원 추가 투자""",https://n.news.naver.com/article/055/0001384938
매일경제,IT/과학,2026-09-01 11:35,"그리프라인 ‘명일방주: 엔드필드’, 갤럭시 스토어와 협업",https://n.news.naver.com/article/009/0005728572
한국경제,사회,2026-09-01 11:35,"[속보] ""추가 허위기록 사례 15건, 소재 확인하고도 사망으로 입력""",https://n.news.naver.com/article/015/0005327121
