언론사,섹션,발행시각,제목,URL
매일경제,세계,2026-09-05 11:16,"“3만m 상공서 아이폰을 던졌다”…추락 후에도 ‘멀쩡’, 기네스 신기록",https://n.news.naver.com/article/009/0005730786
한국경제,세계,2026-09-05 11:09,세 자녀 살해했는데 '심리무효'…美 배심원 끝내 결론 못냈다,https://n.news.naver.com/article/015/0005328979
매일경제,사회,2026-09-05 11:03,배 아파 남의 집 보일러실 앞에서 대변 본 50대…벌금 300만원,https://n.news.naver.com/article/009/0005730785
한국경제,경제|생활/문화,2026-09-05 11:01,유니클로만 잘 나가는 줄 알았는데…한국서 잭팟 터트린 '자라',https://n.news.naver.com/article/015/0005328978
SBS,정치,2026-09-05 10:57,"""물건 잔뜩 챙겨 가고 있다""…한동훈, '김승원-브로커' 통화 녹취 공개",https://n.news.naver.com/article/055/0001386090
매일경제,경제|사회,2026-09-05 10:46,“삼전닉스 쉬어갈 때 뭘 살까?”…롱숏 베테랑이 찍은 3가지 업종 [여의도란도란],https://n.news.naver.com/article/009/0005730783
SBS,세계,2026-09-05 10:40,"미 정보당국 ""이란, 전쟁으로 더 자신감""…장기전 가능성 커져",https://n.news.naver.com/article/055/0001386086
매일경제,사회,2026-09-05 10:39,"“노트북을 반납하기 위해 업무파일 ‘싹’ 지웠다”…법원, 간부 징역형 왜?",https://n.news.naver.com/article/009/0005730782
SBS,세계,2026-09-05 10:39,"이란전 해법 불투명하지만…""트럼프 정부, 전후전략 구상 착수""",https://n.news.naver.com/article/055/0001386085
매일경제,사회,2026-09-05 10:38,"“나 이제 술 안 먹어!” 이영지, 웹예능 끝내며 1억원 ‘통 큰 기부’",https://n.news.naver.com/article/009/0005730781
SBS,세계,2026-09-05 10:36,"트럼프 특사, 모스크바·키이우 방문할 듯…평화협상 재시동",https://n.news.naver.com/article/055/0001386084
SBS,세계,2026-09-05 10:34,"트럼프, 6개월 넘긴 이란전에 ""별거 아닌 사소한 일…충돌일 뿐""",https://n.news.naver.com/article/055/0001386083
한국경제,경제,2026-09-05 10:31,개미도 데이터센터에 직접 투자하는 방법 없을까 [노정동의 어쩌다 투자자],https://n.news.naver.com/article/015/0005328977
한국경제,정치,2026-09-05 10:29,"장동혁 ""용혜인 지명 뒷배 김현지…순순히 물러서지 않을 것""",https://n.news.naver.com/article/015/0005328976
매일경제,경제|사회,2026-09-05 10:25,온라인서 ‘제주 실종 지도’까지 퍼졌다…연쇄 범죄 괴담의 진실은,https://n.news.naver.com/article/009/0005730780
매일경제,정치|사회,2026-09-05 10:23,‘무보수 비상근’ 박진영 美 출장 사적 일정 논란…네티즌 “과도한 트집” 비판,https://n.news.naver.com/article/009/0005730779
매일경제,경제,2026-09-05 10:09,“금리인하 안하면 미국 적자보는 나라와 무역 안한다”는 트럼프…한국은?,https://n.news.naver.com/article/009/0005730778
한국경제,경제,2026-09-05 10:09,"'2조달러' 앤트로픽 IPO 연기될 수도…""미 중간선거 직전 마무리""",https://n.news.naver.com/article/015/0005328975
매일경제,경제,2026-09-05 10:07,"“분명 병원 침대서 하룻밤 보냈는데”…보험금 안주겠다는 보험사, 왜? [어쩌다 세상이]",https://n.news.naver.com/article/009/0005730777
한국경제,경제,2026-09-05 10:04,엔비디아·오픈AI 격돌…고래싸움에 반도체 웃었다 [빈난새의 빈틈없이마켓],https://n.news.naver.com/article/015/0005328974
한국경제,경제,2026-09-05 10:01,“위스키 열풍 끝났다더니”…불황에도 더 비싸지고 늙어간다 [권용훈의 트렌드워치],https://n.news.naver.com/article/015/0005328973
한국경제,세계,2026-09-05 09:58,"탄약 거덜난 미국, 출구 전략 찾지만…""전쟁으로 이란 자신감 고조""",https://n.news.naver.com/article/015/0005328972
매일경제,사회,2026-09-05 09:48,“축의금 45만원부터 시작됐다”…친구 돈 77차례 1억8900만원 뜯어낸 30대,https://n.news.naver.com/article/009/0005730774
SBS,세계,2026-09-05 09:46,"미 정보당국 ""이란, 전쟁으로 더 자신감""…장기전 가능성 커져",https://n.news.naver.com/article/055/0001386079
한국경제,경제,2026-09-05 09:45,'2조달러' 앤트로픽 IPO에 불안한 삼전·닉스 개미들,https://n.news.naver.com/article/015/0005328971
매일경제,사회,2026-09-05 09:42,“휘발유 넣었는데 경유가 섞였다”…부산 주유소 180대 ‘혼유 사고’ 피해,https://n.news.naver.com/article/009/0005730773
SBS,정치,2026-09-05 09:36,"북, 유엔 재정분담률 0.004%…1인당 GNI 644달러 기준으로 책정",https://n.news.naver.com/article/055/0001386078
SBS,정치,2026-09-05 09:32,"김정은, 교육자들과 단체사진…""유능한 인재 알차게 키워야""",https://n.news.naver.com/article/055/0001386077
매일경제,생활/문화,2026-09-05 09:31,많이 팔아도 적자→20억 손실…권은비·윤형빈도 못 피한 창업 실패 [스테크],https://n.news.naver.com/article/009/0005730772
한국경제,경제,2026-09-05 09:31,법원경매 입찰가 ‘0’ 하나 잘못 쓰면 보증금 몰수?,https://n.news.naver.com/article/015/0005328970
SBS,사회,2026-09-05 09:31,오늘 여의도서 한화 불꽃축제…'별이 빛나는 밤' 펼친다,https://n.news.naver.com/article/055/0001386076
매일경제,사회,2026-09-05 09:26,불꽃축제에 마비된 한강…서울시 “정오 전 설치 돗자리 철거”,https://n.news.naver.com/article/009/0005730771
SBS,경제,2026-09-05 09:23,"삼성전자 DX 노조, 18일부터 이재용 회장 자택 앞 집회",https://n.news.naver.com/article/055/0001386075
한국경제,사회,2026-09-05 09:18,"""비트코인 6억 받고 흥신소 동원""… 北 지령에 탈북민·장교 미행",https://n.news.naver.com/article/015/0005328969
SBS,경제,2026-09-05 09:12,현대제철 미국 전기로 제철소 첫발…탄소저감 강판 270만t 생산,https://n.news.naver.com/article/055/0001386074
SBS,사회,2026-09-05 09:11,"[자막뉴스] ""범인 알겠지?"" 유튜버 영상 '파장'…고양이 살처분 두고 '정면충돌'",https://n.news.naver.com/article/055/0001386073
매일경제,사회,2026-09-05 09:10,“우리는 왜 성과급 잔치서 소외” 이재용 회장 집앞서 무기한 집회한다는 삼전 노조,https://n.news.naver.com/article/009/0005730769
SBS,사회,2026-09-05 09:06,"차량서 이상한 소리…""휘발유·경유 섞였다"" 부산 발칵",https://n.news.naver.com/article/055/0001386072
매일경제,생활/문화,2026-09-05 09:04,"“짝사랑 매니저에 납치당해”…‘남셋여셋’ 여배우, 30년 만 충격 고백",https://n.news.naver.com/article/009/0005730768
매일경제,정치|세계,2026-09-05 09:03,“천궁-Ⅱ 우크라에 팔도록 한국 압박해야”…트럼프가 공유한 칼럼,https://n.news.naver.com/article/009/0005730767
한국경제,경제,2026-09-05 09:01,새도약기금이 탕감한 빚 2.3조…60대가 가장 많았다,https://n.news.naver.com/article/015/0005328966
한국경제,IT/과학,2026-09-05 09:01,챗GPT 2300만명 쓰는데…'국가대표 AI' 아직 경쟁 중 [홍민성의 테토남],https://n.news.naver.com/article/015/0005328967
한국경제,정치,2026-09-05 09:01,"""용혜인, 애초에 장관직 고사했어야""…與 내부서 '사퇴론' 분출 [여의도는 지금]",https://n.news.naver.com/article/015/0005328968
SBS,세계,2026-09-05 09:00,"""지구가 경험한 적 없는 괴물이 온다""…초대형 기후 재앙의 경고 [스프]",https://n.news.naver.com/article/055/0001386071
한국경제,정치,2026-09-05 08:56,찬성 200표 넘긴 여성 법안…용혜인은 연이어 '기권표',https://n.news.naver.com/article/015/0005328965
한국경제,사회,2026-09-05 08:41,"삼전 DX노조 ""자사주 1000주 달라""…이재용 회장 집 찾아간다",https://n.news.naver.com/article/015/0005328964
SBS,정치,2026-09-05 08:39,"방미심위, 전국 청소년 대상 미디어 윤리 교육",https://n.news.naver.com/article/055/0001386069
한국경제,세계,2026-09-05 08:34,제미나이 믿고 8시간 산행했다가…해발 4000m서 조난,https://n.news.naver.com/article/015/0005328963
한국경제,사회,2026-09-05 08:31,"""日 여행 가는데 연차를 왜 써요""…2030 돌변한 이유 있었다 [휴가의 기술(下)]",https://n.news.naver.com/article/015/0005328962
매일경제,사회|생활/문화,2026-09-05 08:28,“오늘 여의도 불꽃축제 간다면 꼭 확인”…여의나루역 오후 7시부터 3시간 무정차,https://n.news.naver.com/article/009/0005730764
매일경제,경제,2026-09-05 08:21,“한국에서 거래하면 바보소리 들어요”…가상자산 ‘김치 프리미엄’의 비밀,https://n.news.naver.com/article/009/0005730763
매일경제,사회,2026-09-05 08:20,"“계약 끝나도 음원 수익 나눠야”…이승기, 후크 상대 6억 9000만원 승소",https://n.news.naver.com/article/009/0005730762
매일경제,경제|사회,2026-09-05 08:19,"“1인당 평균 136만원, 내 돈인데”…226만명 대상 3조원 건보 환급 지연 논란",https://n.news.naver.com/article/009/0005730761
한국경제,경제,2026-09-05 08:17,"고금리 우려에…서학개미, 단기채 ETF에 1256억 '뭉칫돈'",https://n.news.naver.com/article/015/0005328961
