언론사,섹션,발행시각,제목,URL
한국경제,경제,2026-08-21 09:48,"금호건설, 삼성전자 플랙트 한국공장 수주에 11%대 강세",https://n.news.naver.com/article/015/0005323150
매일경제,경제,2026-08-21 09:47,"코스피, 1.35% 하락 출발…코스닥도 2% 내림세",https://n.news.naver.com/article/009/0005723867
매일경제,경제,2026-08-21 09:47,“이제는 30대가 부동산 큰 손”…이들이 몰려간 동네 어딘지 보니,https://n.news.naver.com/article/009/0005723868
매일경제,경제,2026-08-21 09:46,"집값 오르고, 청약 몰리고…실수요자 시장서 수치로 확인된 ‘구관이 명관’",https://n.news.naver.com/article/009/0005723865
매일경제,경제,2026-08-21 09:45,“우리가 만든 과학으로 세상을 바꿉니다”…3M 청소년사이언스캠프 현장 가보니,https://n.news.naver.com/article/009/0005723864
한국경제,사회,2026-08-21 09:44,"한국이라는 렌즈로 세계를 보다…서울대, 한국학 국제학술대회 개최",https://n.news.naver.com/article/015/0005323148
매일경제,세계,2026-08-21 09:43,"“저 여기 있습니다”…한 달 만에 등장 멜라니아, 트럼프 ‘애착담요’ 의식?",https://n.news.naver.com/article/009/0005723860
매일경제,경제,2026-08-21 09:43,"금호건설, 전남광주통합특별시에 ‘삼성전자 플랙트 한국공장’ 짓는다",https://n.news.naver.com/article/009/0005723862
매일경제,경제,2026-08-21 09:43,"더블유게임즈, 외국인 지분율 상승폭 확대…21.13% 기록",https://n.news.naver.com/article/009/0005723863
한국경제,경제,2026-08-21 09:39,"기도산업, 코스닥 상장 첫날 장 초반 10% 급락",https://n.news.naver.com/article/015/0005323147
SBS,정치,2026-08-21 09:38,'LIG-방사청' 사상 최대 방산비리 적발…부실수사 비판 왜? [취재파일],https://n.news.naver.com/article/055/0001382328
SBS,세계,2026-08-21 09:37,"""내가 왕족이었다니"" 26살에 왕자된 벨기에 자동차 세일즈맨",https://n.news.naver.com/article/055/0001382327
한국경제,경제,2026-08-21 09:35,"4억 뇌물에 1.7조억 수주 '유리한 평가' 악재…LIG D&A, 급락",https://n.news.naver.com/article/015/0005323146
매일경제,생활/문화|IT/과학,2026-08-21 09:34,“110세만 넘기면 더 오래살 수 있다?”… 암·감염병 면역체계 오히려 진화,https://n.news.naver.com/article/009/0005723858
