언론사,섹션,발행시각,제목,URL
매일경제,경제,2026-09-19 11:27,"“보험금 돌려주면 끝인 줄 알았는데”…보험사기 유죄, 보험계약까지 해지된다 [어쩌다 세상이]",https://n.news.naver.com/article/009/0005737601
SBS,경제,2026-09-19 11:22,"삼성전자 초기업노조, '반도체 노조'로 전환…DX 간부 2명 불신임안 가결",https://n.news.naver.com/article/055/0001389594
SBS,정치,2026-09-19 11:18,"청와대 ""이 대통령, 전쟁 개입 안한다는 입장…트럼프 요청 거절 아냐""",https://n.news.naver.com/article/055/0001389593
매일경제,경제|사회,2026-09-19 11:17,“2000만원 아래면 되지?” “4000만원 넘게 들걸?”…결혼 예산 놓고 엇갈린 남녀,https://n.news.naver.com/article/009/0005737600
매일경제,정치,2026-09-19 11:16,"靑 “이 대통령, 전쟁개입 안한다는 입장…트럼프 요청 거절 아냐”",https://n.news.naver.com/article/009/0005737599
한국경제,생활/문화,2026-09-19 11:16,난지한강공원 물들일 K팝 열기…'2026 ATA 페스티벌' 막 오른다,https://n.news.naver.com/article/015/0005334107
SBS,정치,2026-09-19 11:14,"[바로이뉴스] 김승원 자진사퇴…""'한동훈 사태' 전모 끝까지 밝히겠다""",https://n.news.naver.com/article/055/0001389592
SBS,정치,2026-09-19 11:13,"[속보] 김승원 ""국민 눈높이 못 미쳤다…후보자직 내려놓겠다""",https://n.news.naver.com/article/055/0001389591
매일경제,정치,2026-09-19 11:12,"김승원 법무부 장관 후보자 “국민 눈높이에 미치지 못해, 후보직 내려 놓는다”",https://n.news.naver.com/article/009/0005737598
한국경제,정치,2026-09-19 11:10,"[속보] 김승원 ""한동훈 수사기밀 불법유출 전모 끝까지 밝힐 것""",https://n.news.naver.com/article/015/0005334106
한국경제,정치,2026-09-19 11:07,"[속보] 김승원 ""국민 눈높이 못 미쳤다…후보자직 내려놓겠다""",https://n.news.naver.com/article/015/0005334105
매일경제,정치,2026-09-19 11:03,[속보] 김승원 법무부 장관 후보자 자진 사퇴…지명 20일만,https://n.news.naver.com/article/009/0005737597
매일경제,정치,2026-09-19 11:02,"“국민 눈높이 고려”…‘김승원 결단’ 미룬 이 대통령, 지지율 오를까?",https://n.news.naver.com/article/009/0005737596
한국경제,정치,2026-09-19 11:02,"[속보] 김승원, 장관 지명 20일 만에 사퇴…""고민 끝에 결심""",https://n.news.naver.com/article/015/0005334104
SBS,사회,2026-09-19 11:02,"[속보] 김승원 법무장관 후보자, 전격 사퇴…""국민 눈높이에 못 미쳤다""",https://n.news.naver.com/article/055/0001389590
매일경제,정치,2026-09-19 11:01,장동혁 “김현지 실장이 ‘통계 마사지’ 하나…폭등을 ‘가격 평탄화’라고”,https://n.news.naver.com/article/009/0005737595
한국경제,경제,2026-09-19 11:01,상속으로 2주택…稅폭탄 피하려면 어떻게 해야 할까,https://n.news.naver.com/article/015/0005334103
한국경제,경제,2026-09-19 10:55,상가 월세 3기 연체 뒤 일부 갚았다면…계약해지 막을 수 있을까?,https://n.news.naver.com/article/015/0005334102
SBS,세계,2026-09-19 10:49,조직위 개막전까지 운영 좌충우돌…자원봉사자도 '부글부글',https://n.news.naver.com/article/055/0001389589
매일경제,정치,2026-09-19 10:48,남자는 전쟁터 보내더니 여자는…‘외화벌이’ 북한이 파견한 곳,https://n.news.naver.com/article/009/0005737593
매일경제,정치,2026-09-19 10:47,"“이 대통령 연임 생각 없다는데 말꼬리”…민주당 “국힘, 왜곡말라”",https://n.news.naver.com/article/009/0005737592
매일경제,경제,2026-09-19 10:43,“中 선박에 핵 관련 물건” AI 잘못된 답변에…美- 中 전쟁 날 뻔했다,https://n.news.naver.com/article/009/0005737591
한국경제,정치,2026-09-19 10:43,"[속보] 김승원 후보자, 11시 기자회견 연다…거취 입장 주목",https://n.news.naver.com/article/015/0005334101
한국경제,정치,2026-09-19 10:42,"기자회견 후 ""위로가 됩니다""…李대통령 공유한 글 뭐길래",https://n.news.naver.com/article/015/0005334100
매일경제,정치,2026-09-19 10:36,[속보] 김승원 후보자 11시 국회 기자회견 공지…거취 입장 주목,https://n.news.naver.com/article/009/0005737590
매일경제,사회,2026-09-19 10:35,"이민우, 25억 돌려받나?…법원 “방송작가, 전액 배상”",https://n.news.naver.com/article/009/0005737589
SBS,정치,2026-09-19 10:35,[속보] 김승원 후보자 11시 국회 기자회견 공지…거취 입장 주목,https://n.news.naver.com/article/055/0001389588
매일경제,세계,2026-09-19 10:32,딱 한 번 이겼다…2경기서 무려 18골 ‘강적’ 북한 만나는 여자축구,https://n.news.naver.com/article/009/0005737588
한국경제,경제,2026-09-19 10:31,"""은마아파트 상가 옥상에…"" 재건축 앞두고 퍼진 '괴소문' 정체 [이슬기의 새집다오]",https://n.news.naver.com/article/015/0005334099
매일경제,정치|경제,2026-09-19 10:26,"한동훈 “지금 가상자산 과세 안돼…민주당, 밀어붙이지 말고 토론하자”",https://n.news.naver.com/article/009/0005737587
SBS,세계,2026-09-19 10:19,"올트먼, 내주 유엔 안보리서 발표…""AI안전 표준 필요성 강조""",https://n.news.naver.com/article/055/0001389585
SBS,사회,2026-09-19 10:18,지난해 추석 명절 고속도로 정체시간 상위 5곳 모두 '서해안선',https://n.news.naver.com/article/055/0001389584
매일경제,사회,2026-09-19 10:17,"“위로 드리고 싶었다”…스트레이 키즈 방찬, 네팔 홍수 피해 어린이 위해 1억원 기부",https://n.news.naver.com/article/009/0005737585
SBS,정치,2026-09-19 10:13,"이 대통령, 오늘 청년의날 기념식 참석…질의응답·자유토론 예정",https://n.news.naver.com/article/055/0001389583
SBS,세계,2026-09-19 10:12,"파키스탄, '예멘 반군에 대응' 사우디 군사개입 시사",https://n.news.naver.com/article/055/0001389582
매일경제,사회,2026-09-19 10:09,“14년째 파마 염색 안했다”…소아암 환자 위해 머리카락 기부한 육군 장교,https://n.news.naver.com/article/009/0005737584
매일경제,생활/문화,2026-09-19 10:07,"고속도로 통행료 미납, 작년에만 1000억원 육박…체납 단속 강화",https://n.news.naver.com/article/009/0005737583
SBS,세계,2026-09-19 10:06,"트럼프 ""그린란드 내 미군 주둔 강화 합의…미 영구 통제권 확보""",https://n.news.naver.com/article/055/0001389581
매일경제,경제|생활/문화,2026-09-19 10:03,“요새 누가 두쫀쿠 먹나요”…요즘 대세는 이것이라는데,https://n.news.naver.com/article/009/0005737582
SBS,세계,2026-09-19 10:03,애국가 대신 '북한 국가 연주'…결국 사과한 조직위,https://n.news.naver.com/article/055/0001389580
SBS,사회,2026-09-19 10:00,"""아내 담금질 하겠다"" 신고…흉기 들고 배회한 이유 보니",https://n.news.naver.com/article/055/0001389578
SBS,사회,2026-09-19 10:00,텔레그램 대신 '이 앱' 깔라더니…러시아 국민 감시 논란,https://n.news.naver.com/article/055/0001389579
SBS,사회,2026-09-19 09:59,"""이동욱이 상견례 하자고""…적금까지 깼는데 '이게 무슨 일'",https://n.news.naver.com/article/055/0001389577
한국경제,사회,2026-09-19 09:54,[부고] 함영진(KT 그룹홍보팀장)씨 장인상,https://n.news.naver.com/article/015/0005334098
매일경제,생활/문화,2026-09-19 09:53,“넌 앞으로 내 부인 아니다”…‘임신 6개월 아내’에게 고규필이 말한 까닭,https://n.news.naver.com/article/009/0005737580
한국경제,세계,2026-09-19 09:51,도요토미 논란 폭발했는데…한국 경기에 '北 국가' 틀었다,https://n.news.naver.com/article/015/0005334097
매일경제,세계,2026-09-19 09:49,"애국가 대신 ‘북한 국가’ 틀더니…아시안게임 조직위, 공식 사과",https://n.news.naver.com/article/009/0005737579
SBS,세계,2026-09-19 09:46,미중정상회담 의제로 AI·관세 오른다…만찬에 미 AI CEO들 참석,https://n.news.naver.com/article/055/0001389576
SBS,사회,2026-09-19 09:45,서울공항 주변 비행안전구역 축소방안은…성남시 22일 설명회,https://n.news.naver.com/article/055/0001389575
