언론사,섹션,발행시각,제목,URL
매일경제,사회,2026-09-12 11:15,“저러다 사람 하나 잡지”…창문에 쌓인 화분 ‘아찔’ 아파트,https://n.news.naver.com/article/009/0005734194
한국경제,경제,2026-09-12 11:14,기본소득당 대변인부터 하이닉스 파혼녀까지…한국인 '믿거문' [신현보의 딥데이터],https://n.news.naver.com/article/015/0005331576
매일경제,사회,2026-09-12 11:09,"“넌 내연녀” 여고생 제자 3년간 성착취한 교사, 혐의 부인했지만",https://n.news.naver.com/article/009/0005734193
매일경제,세계,2026-09-12 11:01,"“미국 본토 공격하기로 결심”…CIA가 공개한 기밀자료, 25년전 무슨 일이",https://n.news.naver.com/article/009/0005734192
한국경제,경제,2026-09-12 11:01,똑같이 1억 넣었는데…'1.3억 vs 2.2억' 노후가 바뀐다,https://n.news.naver.com/article/015/0005331574
매일경제,사회,2026-09-12 10:52,9억원 어치 전자기기 빼돌린 물류센터 직원…2년 넘게 971대 훔쳤다,https://n.news.naver.com/article/009/0005734191
한국경제,생활/문화,2026-09-12 10:51,"전원주, 유튜브 중단 이유 건강 아닌 돈?…""좀 올리려 했더니""",https://n.news.naver.com/article/015/0005331573
SBS,세계,2026-09-12 10:51,"미 캘리포니아, 아동 AI규제법 제정…위험 감지되면 부모 알려야",https://n.news.naver.com/article/055/0001387774
SBS,세계,2026-09-12 10:49,"푸틴 ""유럽 가스값 1천㎥당 1천500달러 넘어갈 수도"" 경고",https://n.news.naver.com/article/055/0001387772
SBS,세계,2026-09-12 10:48,"일 자위대, 민간인 신상 몰래 수집…""사상·성적 취향까지""",https://n.news.naver.com/article/055/0001387771
매일경제,IT/과학,2026-09-12 10:43,“스타크래프트 후속작 나오나?”…3년만에 열린 게임 축제에 쏠린 눈,https://n.news.naver.com/article/009/0005734189
매일경제,경제|사회,2026-09-12 10:39,주유소 휘발유값 17주 연속 하락…서울만 1900원대,https://n.news.naver.com/article/009/0005734188
매일경제,경제,2026-09-12 10:27,"뉴욕증시, 닷새만에 반등…다우 1%↑",https://n.news.naver.com/article/009/0005734187
매일경제,세계,2026-09-12 10:26,“목표 달성 못 하면 장기 적출”…스캠 범죄소굴서 수술실 발견,https://n.news.naver.com/article/009/0005734186
매일경제,사회|세계,2026-09-12 10:22,“누가 중드를 봐요” 했는데…글로벌 OTT 시장서 K-콘텐츠 위협,https://n.news.naver.com/article/009/0005734184
