언론사,섹션,발행시각,제목,URL
매일경제,IT/과학,2026-09-22 11:37,"SCL 자회사 네오젠로직, T세포 반응 예측 AI 기술 미국 특허 등록",https://n.news.naver.com/article/009/0005738841
매일경제,경제,2026-09-22 11:37,외신 “용산공원 두고 대립하는 대통령과 서울시장”,https://n.news.naver.com/article/009/0005738842
한국경제,사회,2026-09-22 11:37,"법무부, 신임 대검찰청 차장에 이정현 수원고검장",https://n.news.naver.com/article/015/0005335098
매일경제,경제|생활/문화,2026-09-22 11:36,"“한국 소주는 예술이야”…하이트진로, 일본 EDM 페스티벌 ‘울트라 재팬’ 참가",https://n.news.naver.com/article/009/0005738839
한국경제,정치,2026-09-22 11:35,[단독] '대미투자 1호' 텍사스 발전소 구매확약 못받아…27년 계약 목표,https://n.news.naver.com/article/015/0005335097
한국경제,경제,2026-09-22 11:34,매출 40% 큰손은 구글…차세대 AI칩 수혜주로 '콕',https://n.news.naver.com/article/015/0005335096
매일경제,사회,2026-09-22 11:33,"이승기·첸백시 이어 또…뉴이스트 렌, ‘차가원 소속사’ 상대 전속계약 가처분",https://n.news.naver.com/article/009/0005738836
한국경제,경제,2026-09-22 11:32,실적 회복세 탄 오스템임플란트…PEF의 턴어라운드 비결[PEF 밸류업 사례탐구],https://n.news.naver.com/article/015/0005335095
SBS,정치,2026-09-22 11:32,LIG D&A '방산비리 기술들'…전자전기와 무관한가 [취재파일],https://n.news.naver.com/article/055/0001390298
매일경제,사회,2026-09-22 11:31,“저 아닙니다”…‘대리기사 폭행 공채 출신 개그맨’ 해명나선 김대범,https://n.news.naver.com/article/009/0005738834
매일경제,IT/과학,2026-09-22 11:31,이유 없이 막히는 터널...조명 기술 더하니 정체 해소,https://n.news.naver.com/article/009/0005738835
한국경제,생활/문화,2026-09-22 11:31,'스캔들' 보다가 깜짝…손예진 20대 '클래식' 얼굴 되살렸다,https://n.news.naver.com/article/015/0005335094
매일경제,생활/문화,2026-09-22 11:30,프리미엄 ‘K증류주’로 美 공략나선 CJ제일제당,https://n.news.naver.com/article/009/0005738832
매일경제,IT/과학,2026-09-22 11:30,"올해 한가위 보름달, 금요일 오후 5시 34분에 보세요",https://n.news.naver.com/article/009/0005738833
매일경제,경제,2026-09-22 11:29,[단독]보스턴다이내믹스 프리IPO 추진,https://n.news.naver.com/article/009/0005738831
한국경제,경제,2026-09-22 11:29,"파라타항공, 첫 취항 1주년 기념…추석 연휴 고객에 한과·감사편지",https://n.news.naver.com/article/015/0005335093
SBS,정치,2026-09-22 11:29,"[자막뉴스] 특사까지 보냈는데 ""5,600억 못 줘!""…""원유로 갚을게"" 이라크 '적반하장'",https://n.news.naver.com/article/055/0001390297
매일경제,생활/문화,2026-09-22 11:28,“추석엔 온돌 평상·한옥 카페로”…커피업계 가을 나들이族 공략,https://n.news.naver.com/article/009/0005738828
매일경제,정치,2026-09-22 11:28,"[속보] 법무부, 대검찰청 차장에 이정현 수원고검장",https://n.news.naver.com/article/009/0005738829
한국경제,정치,2026-09-22 11:28,"[속보] 법무부, 대검찰청 차장에 이정현 수원고검장",https://n.news.naver.com/article/015/0005335092
SBS,사회,2026-09-22 11:28,"'서울 마지막 달동네' 홍제동 개미마을 재개발…2,500세대 공급",https://n.news.naver.com/article/055/0001390296
매일경제,정치,2026-09-22 11:27,李대통령 “대북 제재와 北 핵무기·ICBM 개발 맞바꿔야”,https://n.news.naver.com/article/009/0005738826
매일경제,생활/문화,2026-09-22 11:27,뉴욕 한복판에 K화장품 자판기 뜬다,https://n.news.naver.com/article/009/0005738827
SBS,세계,2026-09-22 11:27,"[자막뉴스] ""안세영이 롤모델이라면서 왜?"" '태국공주' 도핑 검사 '양성' 아시안게임 사실상 무산",https://n.news.naver.com/article/055/0001390295
매일경제,경제|사회,2026-09-22 11:26,부산 외국인 유학생 30% 급증…유학도시 부산 브랜드 가치 높아져,https://n.news.naver.com/article/009/0005738823
매일경제,IT/과학,2026-09-22 11:26,"‘삼성 초격차’ 이끈 권오현, KAIST 신임 이사장으로",https://n.news.naver.com/article/009/0005738824
매일경제,사회,2026-09-22 11:26,“근로자 사망하면 최대 징역 15년”…중대재해처벌법 고강도 양형기준 나와,https://n.news.naver.com/article/009/0005738825
한국경제,세계,2026-09-22 11:25,아시안게임 관중석에 등장한 北 김정은?…경찰까지 나섰다,https://n.news.naver.com/article/015/0005335090
SBS,사회,2026-09-22 11:25,"오세훈, 외신 인터뷰서 부동산정책 비판…""용산공원 1㎝도 못내줘""",https://n.news.naver.com/article/055/0001390294
한국경제,정치,2026-09-22 11:24,기강 잡는 김민석...인사 비판한 김용민 법사위 사보임 가능성 시사,https://n.news.naver.com/article/015/0005335089
한국경제,경제|생활/문화,2026-09-22 11:23,기름진 명절 음식 질렸다면…버거·치킨 최대 50% 할인,https://n.news.naver.com/article/015/0005335088
매일경제,IT/과학,2026-09-22 11:21,“작업 내내 설레였다”…‘블핑’ 리사가 디자인한 이녀석 나온다는데,https://n.news.naver.com/article/009/0005738820
SBS,사회,2026-09-22 11:21,"8분 전 경찰서 나갔는데…""꿈쩍 안 해"" 눈 풀린 운전자",https://n.news.naver.com/article/055/0001390293
한국경제,경제,2026-09-22 11:16,서대문구 홍제동 개미·문화마을 일대 신통기획 확정,https://n.news.naver.com/article/015/0005335087
매일경제,정치,2026-09-22 11:15,李대통령 “강남불패·투기공화국 과거 얘기 될 것”,https://n.news.naver.com/article/009/0005738812
한국경제,경제,2026-09-22 11:13,강원 원주서 'NEXT AI 2026 WONJU 글로벌 AI 포럼' 개최…의료 AI 활용 사례·현장 적용 방안 공유,https://n.news.naver.com/article/015/0005335085
한국경제,경제,2026-09-22 11:13,"""월급 한 푼 안 주고 5000명 부린다""…'새 직원' 알고 보니 [차이나 워치]",https://n.news.naver.com/article/015/0005335086
한국경제,경제,2026-09-22 11:12,"""가동한 곳도 없는데 몸값 69조?""…엔비디아는 4조 베팅",https://n.news.naver.com/article/015/0005335084
한국경제,경제,2026-09-22 11:11,"인천공항, 추석 연휴 이용객 114만명…""27일 가장 혼잡""",https://n.news.naver.com/article/015/0005335083
