언론사,섹션,발행시각,제목,URL
매일경제,정치,2026-09-23 11:37,"감사원, 선관위 ‘예산집행 비위’ 6건 적발…특검에 수사자료 넘겨",https://n.news.naver.com/article/009/0005739444
매일경제,사회,2026-09-23 11:37,"유튜버 뒤 ‘공짜노동’ 잡는다…노동부, MCN 기획감독",https://n.news.naver.com/article/009/0005739445
매일경제,정치,2026-09-23 11:36,"與, 추석 앞두고 용산역서 귀성 인사…野공격에 “국힘, 국정 논할 능력 없이 막말만”",https://n.news.naver.com/article/009/0005739443
매일경제,정치,2026-09-23 11:35,"“2035년 중동산 원유 의존도 50% 이하로”…정부, 비축유 2천만배럴 확충",https://n.news.naver.com/article/009/0005739441
SBS,사회,2026-09-23 11:35,"AI 활용한 K방송콘텐츠 11편, 싱가포르서 열리는 ATF 진출",https://n.news.naver.com/article/055/0001390605
매일경제,정치,2026-09-23 11:34,"[속보] 靑 “트럼프, 북한과 대화의지 재확인…한반도 평화 긴밀히 소통”",https://n.news.naver.com/article/009/0005739440
한국경제,사회,2026-09-23 11:34,"[속보] 조희대 ""재제청 명확한 근거·사유 있어야 헌법 따른 절차 가능""",https://n.news.naver.com/article/015/0005335578
매일경제,정치,2026-09-23 11:33,"강신철 국방장관, 취임 첫 외부일정으로 DMZ 폭발사고 부상장병 위문",https://n.news.naver.com/article/009/0005739439
SBS,사회,2026-09-23 11:33,일본 SNS서 270만 뷰 찍은 '서울 모자'…외국인도 반한 서울굿즈,https://n.news.naver.com/article/055/0001390604
매일경제,정치|사회,2026-09-23 11:32,[속보] 조희대 대법원장 “‘제청 과정 절차적 흠결’ 주장 수긍 어려워”,https://n.news.naver.com/article/009/0005739438
SBS,세계,2026-09-23 11:32,'롤러코스터 탑승 후 뇌 손상'…미 놀이공원 식스플래그 피소,https://n.news.naver.com/article/055/0001390603
한국경제,경제,2026-09-23 11:31,"유한건강생활 '뉴오리진 와이즈', 교보문고 '보라토크' 개최…WISE 세대 문화예술 캠페인 전개",https://n.news.naver.com/article/015/0005335577
SBS,경제,2026-09-23 11:31,이른 추석에 8월 유통 매출 7.7%↑…대형마트 6개월 만에 반등,https://n.news.naver.com/article/055/0001390602
매일경제,생활/문화,2026-09-23 11:30,"“망가진 브랜드지만, 이건 ‘10분 품절템’?”…29CM서 ‘나이키스킴스’ 인기",https://n.news.naver.com/article/009/0005739436
매일경제,IT/과학,2026-09-23 11:30,"라이엇게임즈, LoL 국가대표 응원 캠페인 ‘워리어즈’ 개최",https://n.news.naver.com/article/009/0005739437
한국경제,사회,2026-09-23 11:30,"[속보] 조희대 ""대법관 공백에 국민불편 송구…절차 신속 마무리 최선""",https://n.news.naver.com/article/015/0005335576
SBS,세계,2026-09-23 11:30,"'조별리그 3연승' 한국 여자농구, 내일 인도네시아와 8강전 격돌",https://n.news.naver.com/article/055/0001390601
한국경제,사회,2026-09-23 11:29,"[속보] 조희대 대법원장 ""'제청 과정 절차적 흠결' 주장 수긍 어려워""",https://n.news.naver.com/article/015/0005335575
SBS,사회,2026-09-23 11:29,"[속보] 조희대 대법원장 ""'제청 과정 절차적 흠결' 주장 수긍 어려워""",https://n.news.naver.com/article/055/0001390598
SBS,경제,2026-09-23 11:29,외국인 부동산 위법 의심 거래 기획조사…840건 선별,https://n.news.naver.com/article/055/0001390599
한국경제,사회,2026-09-23 11:28,"물에 빠진 사람 구해놨더니 '폭행'으로 되갚은 20대, 체포",https://n.news.naver.com/article/015/0005335574
