언론사,섹션,발행시각,제목,URL
매일경제,IT/과학,2026-08-28 17:16,"[G-브리핑] ‘에오스레드·블랙’, 무협 캐릭터 ‘청풍’과 컬래버",https://n.news.naver.com/article/009/0005727286
SBS,생활/문화,2026-08-28 17:12,"[날씨] 충청·호남 호우주의보, 내일 전국 비",https://n.news.naver.com/article/055/0001384226
한국경제,경제,2026-08-28 17:10,9월 아파트 입주 예정물량 올해 월간 최저치,https://n.news.naver.com/article/015/0005325984
SBS,사회,2026-08-28 17:10,충남 천안 공장 화재 사망 3명…2시간 만에 큰불 잡아,https://n.news.naver.com/article/055/0001384225
SBS,사회,2026-08-28 17:09,"제주경찰관 일부 혐의 시인…""통화했다는 건 거짓말이었다""",https://n.news.naver.com/article/055/0001384224
매일경제,경제|생활/문화,2026-08-28 17:07,"티웨이항공 파리 취항 2주년…490번 하늘길, 가장 많이 이용한 세대는?",https://n.news.naver.com/article/009/0005727284
SBS,사회,2026-08-28 17:07,"[자막뉴스] ""보완수사 통해 '뇌물' 경찰 적발""…""단말기로 '단가표' 만들어"" '치밀' 수법",https://n.news.naver.com/article/055/0001384222
매일경제,사회,2026-08-28 17:06,"""로봇도 직원…업무계획 원점서 다시 짜라""",https://n.news.naver.com/article/009/0005727282
매일경제,경제,2026-08-28 17:06,"""AI칩 뜰수록 방열 기능 중요 … 한국과 소재 공동 개발할 것""",https://n.news.naver.com/article/009/0005727283
한국경제,IT/과학,2026-08-28 17:06,한여름인데 '온천·료칸' 찾는 이들 늘었다?…뜻밖의 결과 [키워드랩],https://n.news.naver.com/article/015/0005325982
한국경제,경제,2026-08-28 17:06,"리센스메디컬 'COOLOA 600', GS홈쇼핑 단독 론칭…방송인 미자 출연",https://n.news.naver.com/article/015/0005325983
SBS,사회,2026-08-28 17:06,"경기 7개 도로 사업, 정부 예비타당성 조사 통과",https://n.news.naver.com/article/055/0001384221
매일경제,생활/문화,2026-08-28 17:02,신간 다이제스트,https://n.news.naver.com/article/009/0005727273
SBS,세계,2026-08-28 17:02,사망·실종 2천 명 넘어…'2차 홍수' 우려로 구조 중단,https://n.news.naver.com/article/055/0001384220
매일경제,생활/문화,2026-08-28 17:01,"반복 업무는 AI, 최종 판단은 인간 … 최적의 역할 분담 찾아라",https://n.news.naver.com/article/009/0005727269
매일경제,생활/문화,2026-08-28 17:01,"[김유태 기자의 책에 대한 책] ""오디세이의 빛과 성서의 그림자는 어떻게 다른가""",https://n.news.naver.com/article/009/0005727270
매일경제,생활/문화,2026-08-28 17:01,이주의 새책,https://n.news.naver.com/article/009/0005727271
매일경제,생활/문화,2026-08-28 17:01,국가간 스케일링 경쟁 … AI 위험성도 키운다,https://n.news.naver.com/article/009/0005727272
매일경제,생활/문화,2026-08-28 17:00,죽음마저 사랑한 황후의 비극적 삶 … 14년 만에 무대·의상 새단장,https://n.news.naver.com/article/009/0005727267
매일경제,생활/문화,2026-08-28 17:00,"""예술은 삶의 흔적일 뿐"" … 한국 단색화 거장이 사랑한 내밀한 공간",https://n.news.naver.com/article/009/0005727268
매일경제,생활/문화,2026-08-28 16:59,"벼랑에서, 사막에서, 심해에서… 생명체는 끝내 생존공식 찾았다",https://n.news.naver.com/article/009/0005727261
매일경제,생활/문화,2026-08-28 16:59,"투자 구루의 조언…""산업구조 바뀔 때가 절호의 기회""",https://n.news.naver.com/article/009/0005727262
