언론사,섹션,발행시각,제목,URL
SBS,경제,2026-09-13 11:22,"임광현 ""부부공동 1주택 '가장 유리한 종부세액' 미리 안내""",https://n.news.naver.com/article/055/0001387890
매일경제,생활/문화,2026-09-13 11:20,"이 대통령, 이창동 ‘베니스 심사위원대상’ 수상에 “빛나는 여정 응원”",https://n.news.naver.com/article/009/0005734340
SBS,경제,2026-09-13 11:20,10월까지 동물등록 자진신고 기간…미등록 과태료 면제,https://n.news.naver.com/article/055/0001387889
SBS,정치,2026-09-13 11:19,"이 대통령 ""이창동 베네치아영화제 수상 축하…다양성 넓어지길""",https://n.news.naver.com/article/055/0001387888
한국경제,경제,2026-09-13 11:18,"""이제 막 돌인데 '年 4000만원'""…역대급 금수저들의 정체",https://n.news.naver.com/article/015/0005331682
매일경제,사회,2026-09-13 11:16,“아이들이 위험합니다” 초중고생 자살 5년 새 65% 급등…작년 244명 ‘역대 최다’,https://n.news.naver.com/article/009/0005734338
SBS,경제,2026-09-13 11:16,"이소영 중기장관 후보자 ""의정활동 용역, 합법적·정상적 계약""",https://n.news.naver.com/article/055/0001387887
한국경제,IT/과학,2026-09-13 11:15,"[단독] 中 킹넷, 위메이드 인수전 뛰어들었다…4000억 투자해 49% 확보",https://n.news.naver.com/article/015/0005331681
매일경제,사회,2026-09-13 11:14,이준석 “국회의원 아니었으면 ‘이 형님 회사’ 몰빵한다”…콕 집은 종목은,https://n.news.naver.com/article/009/0005734336
매일경제,경제|사회|세계,2026-09-13 11:14,"“길 막고 있는 자전거, 보이는 대로 다 뺏었습니다”…벌써 3400대 압수한 ‘이 나라’",https://n.news.naver.com/article/009/0005734337
한국경제,정치,2026-09-13 11:12,"전도연과 셀카 찍은 李대통령…""'가능한 사랑' 수상 축하""",https://n.news.naver.com/article/015/0005331680
매일경제,정치,2026-09-13 11:08,용혜인 장관 후보자 관련 국민의힘 성평등위 기자회견,https://n.news.naver.com/article/009/0005734334
한국경제,사회,2026-09-13 11:08,"""숨진 44개월 여아 온몸에 멍, 혈액엔 캡사이신""…경찰은 '내사종결'",https://n.news.naver.com/article/015/0005331679
SBS,정치,2026-09-13 11:07,"김정은, 북한 9·9절 시진핑 축전에 답전 ""양국 친선협조 강화발전""",https://n.news.naver.com/article/055/0001387886
매일경제,사회,2026-09-13 11:06,사업 70억 투자 받은 아나운서 부부 “퇴직금 3천만원으로 시작”,https://n.news.naver.com/article/009/0005734333
매일경제,경제,2026-09-13 11:05,"한국투자증권, 뉴욕에서 ‘KIS Night in New York’",https://n.news.naver.com/article/009/0005734332
SBS,정치,2026-09-13 11:05,"북한, 미사일 쏘고도 또 침묵…한 달여 사이 4차례 미보도",https://n.news.naver.com/article/055/0001387885
매일경제,생활/문화,2026-09-13 11:04,요즘 백화점 ‘이것’ 잡아야 산다…백화점의 새로운 성장 방정식,https://n.news.naver.com/article/009/0005734331
SBS,사회,2026-09-13 11:04,부산 예인선 전복 실종자 12일째 수색…함선 30척 등 투입,https://n.news.naver.com/article/055/0001387884
SBS,사회,2026-09-13 11:03,5년간 소방·구급차 사고 1천73건…민간인 포함 2천151명 피해,https://n.news.naver.com/article/055/0001387883
한국경제,경제,2026-09-13 11:01,실손보험료 '17만원→2만원'…병원 자주 안가는데 갈아탈까,https://n.news.naver.com/article/015/0005331676
한국경제,경제,2026-09-13 11:01,"""추석인데 이렇게 싸다고?""…4만원대 전복 선물세트 나온 이유 [박상경의 영수증 리뷰]",https://n.news.naver.com/article/015/0005331677
한국경제,사회,2026-09-13 11:01,형제·부부·부자까지…경찰 수뇌부에 눈길 끄는 ‘경찰 가족’[폴리-사이드],https://n.news.naver.com/article/015/0005331678
매일경제,사회,2026-09-13 11:00,성매매 여성 갑자기 목조른 10·20대…성매수남 행세하다 강도로 돌변,https://n.news.naver.com/article/009/0005734330
매일경제,경제,2026-09-13 10:59,“토스가 P2P까지 들어온다고?”…‘중금리 대출’ 지각변동에 온투업계 긴장,https://n.news.naver.com/article/009/0005734329
매일경제,사회,2026-09-13 10:58,북극항로 시범운항 선박 로테르담 도착…李대통령 “역사적 첫 길 축하”,https://n.news.naver.com/article/009/0005734328
매일경제,세계,2026-09-13 10:52,“죽으면 영하 196도에 넣어주세요”…수억씩 내고 250년 후 부활 꿈꾸는 7인,https://n.news.naver.com/article/009/0005734327
한국경제,정치,2026-09-13 10:52,"'사퇴 압박' 용혜인, 오늘 기자회견…거취 밝히나",https://n.news.naver.com/article/015/0005331675
한국경제,사회,2026-09-13 10:45,"리센느 사투리 언급 그 후…김선태 ""하루하루 버티는 중""",https://n.news.naver.com/article/015/0005331673
매일경제,세계,2026-09-13 10:43,“시간당 4만원 주면 여행 친구 해드려요”…이색 알바 유행하는 태국,https://n.news.naver.com/article/009/0005734326
한국경제,정치,2026-09-13 10:43,"김민석 ""혁신당과 합당해도 지분 나누기 없다""…조국 ""놀부심보""",https://n.news.naver.com/article/015/0005331672
